 Decimal          SNAFU
        1              1
        2              2
        3             1=
        4             1-
        5             10
        6             11
        7             12
        8             2=
        9             2-
       10             20
       11             21
       12             22
       13             1==
       14             1=-
       15            1=0
       16            1=1
       17            1=2
       18            1-=
       19            1--
       20            1-0
       21            1-1
       22            1-2
       23            10=
       24            10-
       25            100
     2022         1=11-2
    12345        1-0---0
314159265  1121-1110-1=0
